expediente|cod_plan|des_plan|anio_apertura_expediente|abandona|convocatoria_acceso|des_acceso|nota_admision_def|sexo|lugar_origen|anio_nacimiento_interval
125|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
126|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
127|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
128|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
130|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.97|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
131|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Formación Profesional|6.836|D|MISMO_MUNICIPIO|(1985.0, 1990.0]
133|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.114|D|OTRO_MUNICIPIO|(1985.0, 1990.0]
134|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
135|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
136|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
137|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|5.828|H|OTRA_COMUNIDAD|(1990.0, 1995.0]
138|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|7.858|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
139|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
140|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|6.124|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
142|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|7.118|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
143|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|SEP|Selectividad|5.35|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
144|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|6.836|H|OTRO_MUNICIPIO|(1985.0, 1990.0]
145|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|JUN|Selectividad|6.836|D|OTRA_COMUNIDAD|(1990.0, 1995.0]
147|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|SEP|Selectividad|5.35|H|MISMO_MUNICIPIO|(1990.0, 1995.0]
150|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|SEP|Selectividad|5.47|H|OTRO_MUNICIPIO|(1990.0, 1995.0]
151|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|JUN|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
152|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|SEP|Selectividad|6.392|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
153|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|SEP|Selectividad|6.836|D|OTRO_MUNICIPIO|(1990.0, 1995.0]
154|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|1|SEP|Formación Profesional|6.836|H|MISMO_MUNICIPIO|(1985.0, 1990.0]
155|1623|GRADO EN INGENIERÍA CIVIL - CONSTRUCCIONES CIVILES|2010-11|0|SEP|Selectividad|5.832|D|MISMO_MUNICIPIO|(1990.0, 1995.0]
